# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 22.87; 0.00148; -0.03667; -0.02483; -0.14769
3.0; 0.131; 23.57; 0.00079; 0.00764; -0.46626; -0.14644
6.0; 0.258; 23.98; -0.00056; 0.05770; -0.89694; -0.13870
9.0; 0.385; 23.80; -0.00284; 0.10987; -1.29947; -0.12434
12.0; 0.514; 23.01; -0.00593; 0.14864; -1.65763; -0.10410
15.0; 0.648; 21.88; -0.00839; 0.15950; -1.95735; -0.08031
18.0; 0.789; 20.71; -0.00868; 0.15627; -2.18639; -0.05487
21.0; 0.938; 19.52; -0.00793; 0.18275; -2.33152; -0.02508
24.0; 1.095; 18.37; -0.00748; 0.24590; -2.37049; 0.01504
27.0; 1.263; 17.34; -0.00776; 0.34218; -2.26462; 0.07189
30.0; 1.441; 16.49; -0.00936; 0.44987; -1.96209; 0.14664
33.0; 1.632; 15.80; -0.01311; 0.53533; -1.41933; 0.22960
36.0; 1.834; 15.19; -0.01904; 0.58740; -0.63398; 0.30464
39.0; 2.046; 14.61; -0.02620; 0.62143; 0.32905; 0.35392
42.0; 2.258; 14.06; -0.03455; 0.65437; 1.30402; 0.34695
45.0; 2.453; 13.55; -0.04580; 0.69968; 2.01203; 0.24293
48.0; 2.627; 13.35; -0.05729; 0.71446; 2.25143; 0.05374
51.0; 2.803; 13.42; -0.06528; 0.66592; 2.00071; -0.12996
54.0; 3.002; 13.50; -0.06449; 0.60829; 1.31362; -0.23910
57.0; 3.225; 13.56; -0.04910; 0.53347; 0.36824; -0.27194
60.0; 3.454; 13.91; -0.00784; 0.37722; -0.55368; -0.25857
63.0; 3.672; 14.64; 0.01007; 0.37878; -1.27104; -0.20857
66.0; 3.874; 15.40; 0.00792; 0.33523; -1.77166; -0.13869
69.0; 4.064; 16.23; 0.00453; 0.24803; -2.08032; -0.08011
72.0; 4.242; 17.13; 0.00186; 0.15359; -2.25016; -0.04042
75.0; 4.412; 18.05; 0.00044; 0.08905; -2.32803; -0.01446
78.0; 4.575; 18.53; 0.00005; 0.09408; -2.33643; 0.00798
81.0; 4.738; 18.08; -0.00083; 0.19869; -2.26526; 0.04034
84.0; 4.910; 17.01; -0.00426; 0.35878; -2.07353; 0.09311
87.0; 5.093; 16.17; -0.00794; 0.47585; -1.70139; 0.16548
90.0; 5.288; 15.50; -0.01288; 0.55704; -1.09474; 0.25164
93.0; 5.495; 14.90; -0.01952; 0.60369; -0.22983; 0.33427
96.0; 5.710; 14.34; -0.02711; 0.63584; 0.80523; 0.37139
99.0; 5.915; 13.81; -0.03576; 0.66885; 1.71451; 0.30984
102.0; 6.097; 13.39; -0.04579; 0.70183; 2.19845; 0.14858
105.0; 6.270; 13.25; -0.05464; 0.69640; 2.20271; -0.04058
108.0; 6.457; 13.34; -0.05700; 0.63057; 1.75924; -0.19427
111.0; 6.668; 13.39; -0.04450; 0.55094; 0.92776; -0.28466
114.0; 6.898; 13.69; -0.00627; 0.41613; -0.07174; -0.30688
117.0; 7.123; 14.31; 0.01196; 0.44617; -0.95179; -0.26033
120.0; 7.332; 14.95; 0.00999; 0.42469; -1.58409; -0.17395
123.0; 7.529; 15.66; 0.00671; 0.34399; -1.96452; -0.09711
126.0; 7.716; 16.48; 0.00370; 0.23967; -2.16228; -0.04636
129.0; 7.893; 17.39; 0.00133; 0.13965; -2.25102; -0.01832
132.0; 8.061; 18.31; 0.00014; 0.07360; -2.28216; -0.00418
135.0; 8.221; 19.19; -0.00015; 0.05345; -2.28123; 0.00464
138.0; 8.374; 20.02; -0.00039; 0.02886; -2.26050; 0.00960
141.0; 8.521; 20.82; -0.00034; 0.01049; -2.22969; 0.01155
144.0; 8.663; 21.59; -0.00017; -0.00254; -2.19577; 0.01148
147.0; 8.799; 22.33; 0.00006; -0.01123; -2.16337; 0.01015
150.0; 8.932; 23.04; 0.00029; -0.01649; -2.13538; 0.00812
153.0; 9.060; 23.73; 0.00048; -0.01912; -2.11336; 0.00577
156.0; 9.185; 24.40; 0.00063; -0.01977; -2.09793; 0.00341
159.0; 9.306; 25.04; 0.00072; -0.01895; -2.08900; 0.00121
162.0; 9.424; 25.67; 0.00075; -0.01708; -2.08605; -0.00069
165.0; 9.540; 26.28; 0.00074; -0.01445; -2.08819; -0.00220
168.0; 9.653; 26.87; 0.00067; -0.01128; -2.09434; -0.00328
171.0; 9.763; 27.45; 0.00056; -0.00777; -2.10330; -0.00389
174.0; 9.871; 28.02; 0.00042; -0.00406; -2.11378; -0.00404
177.0; 9.977; 28.57; 0.00024; -0.00033; -2.12448; -0.00372
