# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.0505951; -0.0019009; -1.7088343; -0.0012269; 22.8671066; 5.3652608
1.9937053; 1.9227948; -0.2776934; -1.7100689; -0.0000156; 23.3301963; 4.3449187
3.9874107; 3.8978254; -0.5537828; -1.7089082; 0.0011741; 23.6985872; 3.2074159
5.9811160; 5.8735279; -0.8252547; -1.7053940; 0.0023499; 23.9669005; -1.2718938
7.9748214; 7.8499142; -1.0874386; -1.6996099; 0.0034511; 23.8608625; -3.5329479
9.9685267; 9.8284085; -1.3360682; -1.6916601; 0.0044824; 23.5638164; -6.0347074
11.9622321; 11.8084618; -1.5669538; -1.6817799; 0.0054325; 23.0475723; -8.2776628
13.9559374; 13.7917588; -1.7765436; -1.6701141; 0.0062594; 22.3200391; -8.3192785
15.9496428; 15.7768967; -1.9613013; -1.6568102; 0.0070850; 21.5641315; -8.2191380
17.9433481; 17.7638988; -2.1179591; -1.6418639; 0.0079145; 20.7903508; -8.0688432
19.9370535; 19.7545518; -2.2429995; -1.6246925; 0.0093680; 20.0016223; -7.6766568
21.9307588; 21.7458776; -2.3307157; -1.6042802; 0.0114225; 19.2212100; -7.2293241
23.9244642; 23.7385584; -2.3728864; -1.5786935; 0.0142462; 18.4561271; -6.2931082
25.9181695; 25.7325849; -2.3577233; -1.5462519; 0.0184583; 17.7633167; -5.5847617
27.9118749; 27.7223561; -2.2693797; -1.5053212; 0.0222032; 17.1250309; -4.7844640
29.9055802; 29.7084797; -2.0933450; -1.4587334; 0.0244132; 16.5586551; -3.8395825
31.8992856; 31.6753306; -1.8210338; -1.4062377; 0.0285945; 16.0897193; -3.4380914
33.8929909; 33.6324074; -1.4359542; -1.3457053; 0.0319076; 15.6579049; -3.0145191
35.8866963; 35.5628718; -0.9265129; -1.2787530; 0.0352327; 15.2692455; -2.7751226
37.8804016; 37.4504211; -0.2858437; -1.2091878; 0.0335792; 14.9024933; -2.6595087
39.8741070; 39.3045437; 0.4862830; -1.1437703; 0.0321967; 14.5423434; -2.5658265
41.8678123; 41.1040669; 1.3798130; -1.0736794; 0.0394990; 14.1862168; -2.6349490
43.8615177; 42.8544445; 2.4338445; -0.9810895; 0.0488357; 13.8109422; -2.2147067
45.8552230; 44.4176900; 3.6018122; -0.8706052; 0.0682283; 13.4874452; -0.8310562
47.8489284; 45.8078806; 4.9338489; -0.7495678; 0.0554328; 13.3640344; 0.4216964
49.8426337; 47.0894203; 6.4662417; -0.6475853; 0.0453369; 13.4267976; 0.4432420
51.8363391; 48.2187564; 8.1103038; -0.5551494; 0.0484060; 13.4924527; 0.3002232
53.8300444; 49.1820651; 9.8491848; -0.4560304; 0.0509123; 13.5367424; 0.6356565
55.8237498; 49.9740021; 11.7043904; -0.3508253; 0.0491783; 13.6300410; 1.5044259
57.8174551; 50.5759034; 13.6088307; -0.2652568; 0.0375657; 13.8483494; 2.7354216
59.8111605; 51.0347637; 15.5621401; -0.1999902; 0.0265241; 14.2367142; 3.3748489
61.8048658; 51.3860871; 17.5160934; -0.1599005; 0.0155619; 14.7017325; 3.7556673
63.7985712; 51.6714916; 19.4923634; -0.1260423; 0.0182764; 15.2025106; 4.1260187
65.7922765; 51.8853224; 21.4721191; -0.0899324; 0.0162549; 15.7343083; 4.4748975
67.7859819; 52.0352645; 23.4568631; -0.0625224; 0.0114415; 16.2914614; 5.0118140
69.7796872; 52.1392196; 25.4490879; -0.0427896; 0.0082983; 16.8936637; 5.2828066
71.7733925; 52.2099511; 27.4406708; -0.0289749; 0.0059222; 17.5060159; 5.1970269
73.7670979; 52.2571141; 29.4326714; -0.0189302; 0.0044606; 18.0882081; 2.9824352
75.7608032; 52.2853580; 31.4259112; -0.0090966; 0.0053962; 18.4140019; -0.7380896
77.7545086; 52.2914937; 33.4173326; 0.0041404; 0.0087657; 18.3339140; -3.3567821
79.7482139; 52.2627494; 35.4114570; 0.0262331; 0.0135806; 17.9651755; -6.2890528
81.7419193; 52.1795719; 37.4016458; 0.0592821; 0.0195302; 17.2531300; -5.1479950
83.7356246; 52.0195429; 39.3850993; 0.1033893; 0.0245671; 16.6476222; -4.3935015
85.7293300; 51.7618283; 41.3657723; 0.1567661; 0.0286014; 16.1128716; -3.4480518
87.7230353; 51.3939854; 43.3201190; 0.2161161; 0.0310113; 15.6804283; -3.0818368
89.7167407; 50.9070076; 45.2491200; 0.2779111; 0.0296263; 15.2835625; -2.8127854
91.7104460; 50.3025284; 47.1604108; 0.3334377; 0.0258035; 14.9121277; -2.6009267
93.7041514; 49.5907459; 49.0434367; 0.3921018; 0.0339010; 14.5602400; -2.5851313
95.6978567; 48.7439161; 50.8829054; 0.4751132; 0.0454671; 14.2018523; -2.6046531
97.6915621; 47.7677876; 52.5784147; 0.5739551; 0.0592831; 13.8313697; -2.4805085
99.6852674; 46.5736471; 54.1867364; 0.7038754; 0.0598585; 13.4690750; -1.1829433
101.6789728; 45.2357209; 55.6087605; 0.8020517; 0.0436339; 13.2928214; 0.0550166
103.6726781; 43.7661985; 56.9192381; 0.8859674; 0.0489318; 13.3010704; 0.3552739
105.6663835; 42.1621291; 58.0952017; 0.9936014; 0.0586157; 13.3542165; 0.3605805
107.6600888; 40.3993474; 59.0954384; 1.1165068; 0.0592218; 13.4079409; 1.2870054
109.6537942; 38.5785009; 59.8691782; 1.2167538; 0.0447333; 13.5979667; 2.0205764
111.6474995; 36.6535718; 60.4886422; 1.2981367; 0.0328286; 13.8910607; 2.7235677
113.6412049; 34.7230438; 60.9720411; 1.3475149; 0.0169768; 14.2766085; 2.9884422
115.6349102; 32.7601667; 61.3819579; 1.3841304; 0.0210491; 14.6880120; 3.2612258
117.6286156; 30.8041550; 61.7060736; 1.4298767; 0.0231675; 15.1242039; 3.6487958
119.6223209; 28.8268031; 61.9422609; 1.4728669; 0.0199083; 15.5977816; 4.2774939
121.6160263; 26.8398295; 62.1006463; 1.5080472; 0.0152244; 16.1352693; 4.6678503
123.6097316; 24.8490633; 62.1986671; 1.5335973; 0.0106096; 16.7020823; 5.1243254
125.6034370; 22.8562676; 62.2544317; 1.5506907; 0.0065375; 17.3029576; 5.4262507
127.5971423; 20.8627547; 62.2831924; 1.5614591; 0.0045511; 17.9172830; 5.5293080
129.5908477; 18.8692216; 62.2938345; 1.5689927; 0.0032103; 18.5223285; 5.5199160
131.5845530; 16.8755035; 62.2915649; 1.5746187; 0.0024336; 19.1072454; 5.4585481
133.5782584; 14.8818351; 62.2796271; 1.5786879; 0.0016469; 19.6685612; 5.4891960
135.5719637; 12.8882307; 62.2611347; 1.5812215; 0.0009590; 20.2173188; 5.4792204
137.5656691; 10.8946411; 62.2387824; 1.5826248; 0.0004487; 20.7506116; 5.4226879
139.5593744; 8.9010960; 62.2145818; 1.5831243; 0.0000706; 21.2652384; 5.4459793
