# t_s; s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.0000000; 0.0020334; 0.0729129; -1.7097962; -0.0013201; 22.9009998; 5.3443391
0.0863493; 1.9974092; 1.9798809; -0.2057003; -1.7113165; -0.0002027; 23.3624796; 4.2901400
0.1711849; 3.9948184; 3.9579688; -0.4851559; -1.7105814; 0.0009651; 23.7264364; 3.1023367
0.2549116; 5.9922277; 5.9360251; -0.7607080; -1.7074305; 0.0021917; 23.9861847; -1.4051345
0.3383890; 7.9896369; 7.9161794; -1.0277510; -1.7018710; 0.0033735; 23.8688877; -3.6852280
0.4226193; 9.9870461; 9.8975680; -1.2813820; -1.6939775; 0.0044893; 23.5584801; -6.1537601
0.5083647; 11.9844553; 11.8802936; -1.5171507; -1.6839815; 0.0055259; 23.0308235; -8.3341850
0.5964977; 13.9818645; 13.8671484; -1.7312800; -1.6720299; 0.0064295; 22.2963063; -8.3358248
0.6876351; 15.9792737; 15.8554743; -1.9197621; -1.6582863; 0.0073311; 21.5366006; -8.2179319
0.7820819; 17.9766830; 17.8457169; -2.0790656; -1.6427505; 0.0082320; 20.7604437; -8.0521027
0.8801596; 19.9740922; 19.8399429; -2.2053577; -1.6248075; 0.0097697; 19.9707119; -7.6313649
0.9821645; 21.9715014; 21.8348477; -2.2925711; -1.6034619; 0.0119197; 19.1922749; -7.1850950
1.0883487; 23.9689106; 23.8313821; -2.3321495; -1.5768353; 0.0147351; 18.4293317; -6.1970018
1.1987812; 25.9663198; 25.8284581; -2.3121290; -1.5432867; 0.0189390; 17.7449815; -5.4692858
1.3133665; 27.9637290; 27.8211791; -2.2168553; -1.5015897; 0.0223921; 17.1182816; -4.7442876
1.4319996; 29.9611383; 29.8118105; -2.0325897; -1.4547441; 0.0243464; 16.5554522; -3.7510677
1.5543449; 31.9585475; 31.7799400; -1.7519862; -1.4022161; 0.0284263; 16.0965264; -3.3817946
1.6800955; 33.9559567; 33.7385286; -1.3588877; -1.3422063; 0.0315624; 15.6712637; -3.0017780
1.8091474; 35.9533659; 35.6734457; -0.8414605; -1.2756423; 0.0349784; 15.2838787; -2.7485079
1.9414076; 37.9507751; 37.5619002; -0.1952040; -1.2075283; 0.0325727; 14.9203606; -2.6454700
2.0769066; 39.9481843; 39.4232439; 0.5814740; -1.1439966; 0.0313519; 14.5619019; -2.5550003
2.2157650; 41.9455936; 41.2223016; 1.4732147; -1.0743285; 0.0402482; 14.2071188; -2.6434770
2.3582457; 43.9430028; 42.9795831; 2.5329351; -0.9791339; 0.0501439; 13.8304741; -2.1135226
2.5042965; 45.9404120; 44.5361014; 3.7051882; -0.8634993; 0.0729562; 13.5217926; -0.6717870
2.6525603; 47.9378212; 45.9066017; 5.0424001; -0.7391654; 0.0577153; 13.4221909; 0.4072499
2.8010398; 49.9352304; 47.1752743; 6.5959722; -0.6351359; 0.0453970; 13.4826591; 0.4335522
2.9488351; 51.9326397; 48.2988550; 8.2738681; -0.5446787; 0.0461127; 13.5467361; 0.2849121
3.0960530; 53.9300489; 49.2483304; 10.0217469; -0.4495588; 0.0495240; 13.5886803; 0.7045647
3.2424878; 55.9274581; 50.0299327; 11.8796359; -0.3470375; 0.0477211; 13.6918530; 1.4849406
3.3872347; 57.9248673; 50.6273371; 13.7893232; -0.2627668; 0.0373803; 13.9067936; 2.8849971
3.5287847; 59.9222765; 51.0822184; 15.7450346; -0.1982995; 0.0258122; 14.3151650; 3.4272355
3.6660599; 61.9196857; 51.4326977; 17.7041468; -0.1595438; 0.0160601; 14.7856394; 3.7665856
